               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.027481,            0.014491,            0.011884,             0.91493,             0.86173,             0.94909,             0.75252,            0.025696,           0.0064501,           0.0096635,            0.006535,            0.006535,            0.006535
                  37,            0.025753,            0.013873,            0.010129,             0.90373,             0.90913,             0.95457,             0.75739,            0.024451,           0.0064709,            0.010962,            0.006436,            0.006436,            0.006436
                  38,             0.02625,            0.013881,             0.01126,              0.8945,             0.88821,             0.94007,             0.74313,            0.024491,            0.006473,            0.010313,            0.006337,            0.006337,            0.006337
                  39,            0.025712,            0.013677,            0.010375,             0.90596,             0.86359,             0.93158,             0.73352,            0.026702,           0.0066137,            0.011032,            0.006238,            0.006238,            0.006238
                  40,            0.026352,            0.013817,            0.010278,             0.89349,              0.8845,              0.9437,             0.75705,            0.024422,           0.0063404,           0.0089431,            0.006139,            0.006139,            0.006139
                  41,            0.025768,            0.013665,           0.0097939,             0.92382,             0.89429,             0.95562,             0.76169,            0.024109,           0.0061797,            0.010737,             0.00604,             0.00604,             0.00604
                  42,            0.024903,            0.013326,           0.0092364,             0.89722,             0.90486,             0.95503,             0.76772,            0.023583,           0.0061708,            0.012802,            0.005941,            0.005941,            0.005941
                  43,            0.025575,            0.013231,           0.0089198,             0.89589,             0.87433,             0.93307,             0.75214,            0.024724,           0.0063262,            0.010294,            0.005842,            0.005842,            0.005842
                  44,            0.025081,            0.013353,           0.0081562,             0.92652,             0.90693,             0.96182,             0.78223,            0.023213,            0.006046,           0.0082095,            0.005743,            0.005743,            0.005743
                  45,            0.024672,            0.013311,           0.0090336,             0.92448,             0.87608,             0.94157,             0.76185,            0.026029,           0.0062602,            0.011408,            0.005644,            0.005644,            0.005644
                  46,            0.024417,            0.013187,           0.0081024,             0.92083,             0.91343,             0.95925,             0.77628,            0.023404,           0.0060026,           0.0079786,            0.005545,            0.005545,            0.005545
                  47,             0.02516,            0.013047,           0.0085754,             0.91079,              0.8837,             0.94973,             0.77218,            0.023342,            0.006088,           0.0089678,            0.005446,            0.005446,            0.005446
                  48,            0.023784,            0.012782,           0.0077568,                0.92,             0.90882,             0.95768,             0.78431,            0.023783,           0.0060375,            0.008858,            0.005347,            0.005347,            0.005347
                  49,            0.023387,            0.012827,           0.0081934,             0.92432,               0.917,             0.95898,             0.77905,            0.023547,           0.0059816,           0.0099963,            0.005248,            0.005248,            0.005248
                  50,            0.023414,            0.013102,           0.0081102,             0.92023,             0.87464,             0.95109,             0.78081,            0.022765,           0.0060073,           0.0098655,            0.005149,            0.005149,            0.005149
                  51,            0.022554,            0.012656,           0.0077927,             0.93632,             0.92594,             0.96667,             0.79429,            0.022287,           0.0059141,           0.0075952,             0.00505,             0.00505,             0.00505
                  52,            0.022661,            0.012603,           0.0078637,             0.91565,             0.92638,             0.96021,             0.79042,            0.023161,           0.0059505,           0.0083356,            0.004951,            0.004951,            0.004951
                  53,            0.024244,            0.012726,           0.0075106,             0.94234,             0.91474,             0.96157,             0.79151,             0.02306,           0.0058807,            0.010215,            0.004852,            0.004852,            0.004852
                  54,            0.023275,            0.012394,            0.008185,              0.9346,             0.91665,             0.96638,             0.79423,            0.022272,           0.0057634,           0.0089024,            0.004753,            0.004753,            0.004753
                  55,            0.023155,            0.012587,            0.007861,             0.92983,             0.91208,             0.96658,             0.80019,            0.021648,           0.0057882,           0.0071645,            0.004654,            0.004654,            0.004654
                  56,            0.023489,            0.012452,           0.0077942,             0.92233,             0.92014,             0.96506,             0.79727,            0.021936,           0.0058485,           0.0085102,            0.004555,            0.004555,            0.004555
                  57,            0.022335,            0.012188,           0.0077465,             0.93198,             0.91356,             0.96167,             0.79709,            0.021941,           0.0057269,            0.010198,            0.004456,            0.004456,            0.004456
                  58,            0.022963,            0.012384,           0.0071495,              0.9231,             0.92932,             0.96477,             0.79897,            0.021741,           0.0057544,            0.008632,            0.004357,            0.004357,            0.004357
                  59,            0.022165,             0.01231,           0.0073176,             0.93116,             0.90958,             0.95931,             0.79004,            0.022005,           0.0059385,           0.0074006,            0.004258,            0.004258,            0.004258
                  60,            0.022573,            0.012664,           0.0076763,             0.94833,             0.89698,             0.96014,             0.79183,            0.021579,           0.0058916,           0.0070702,            0.004159,            0.004159,            0.004159
                  61,            0.022978,               0.012,           0.0074031,             0.93909,             0.92486,             0.96556,              0.8074,            0.021648,           0.0057365,           0.0098139,             0.00406,             0.00406,             0.00406
                  62,            0.022378,            0.012052,           0.0068697,             0.94649,             0.92082,             0.96771,             0.80535,            0.021824,           0.0057405,            0.010039,            0.003961,            0.003961,            0.003961
                  63,            0.021859,              0.0119,           0.0066076,              0.9201,             0.93954,             0.96734,             0.80709,            0.021017,           0.0057472,            0.009218,            0.003862,            0.003862,            0.003862
                  64,            0.021936,             0.01216,           0.0063427,             0.93434,             0.92082,             0.96578,             0.80431,            0.021355,           0.0057566,           0.0079253,            0.003763,            0.003763,            0.003763
                  65,            0.021572,            0.011971,           0.0061632,             0.94247,             0.92681,             0.96992,             0.81872,            0.021416,            0.005608,           0.0081645,            0.003664,            0.003664,            0.003664
                  66,            0.021076,            0.012228,            0.006224,              0.9246,             0.93783,             0.96683,             0.81294,            0.020931,           0.0056931,           0.0090289,            0.003565,            0.003565,            0.003565
                  67,            0.020553,            0.011848,           0.0060115,             0.94027,             0.93364,             0.97225,             0.81957,            0.020834,           0.0055605,            0.006537,            0.003466,            0.003466,            0.003466
                  68,            0.021443,              0.0118,           0.0062997,             0.93761,             0.92832,             0.96642,             0.81288,            0.021095,           0.0056479,           0.0085468,            0.003367,            0.003367,            0.003367
                  69,            0.020892,            0.011476,           0.0063531,              0.9334,             0.93254,              0.9684,             0.81979,            0.021462,           0.0055829,           0.0064756,            0.003268,            0.003268,            0.003268
                  70,            0.020423,            0.011875,           0.0061539,             0.94636,             0.93056,             0.97126,             0.81923,            0.020857,           0.0055538,           0.0073943,            0.003169,            0.003169,            0.003169
                  71,            0.021327,            0.011512,           0.0058336,             0.95173,             0.92396,             0.96894,             0.82112,            0.021277,           0.0055843,           0.0078502,             0.00307,             0.00307,             0.00307
                  72,            0.020381,            0.011538,           0.0054201,             0.94336,             0.93615,             0.96878,             0.82071,            0.020863,           0.0055385,           0.0079519,            0.002971,            0.002971,            0.002971
                  73,             0.02006,            0.011581,           0.0048327,             0.94324,             0.93932,             0.96711,             0.82207,            0.021129,           0.0055348,            0.006673,            0.002872,            0.002872,            0.002872
